Judge,Year,Court
Hon. Theodore J. Markow~,2006,Richmond Circuit Court
Hon. Beverly W. Snukals~,2006,Richmond Circuit Court
Hon. Margaret P. Spencer~,2006,Richmond Circuit Court
Hon. Richard D. Taylor Jr.,2006,Richmond Circuit Court
Hon. Harry T. Taliaferro III~,2008,Westmoreland Circuit Court
Hon. J. Martin Bass*,2008,Westmoreland Circuit Court
Hon. David H. Beck,2008,Westmoreland Circuit Court
Hon. Joseph J. Ellis,2008,Westmoreland Circuit Court
Hon. J. Overton Harris,2008,Westmoreland Circuit Court
Hon. Horace A. Revercomb III,2008,Westmoreland Circuit Court
Hon. Charles S. Sharp,2008,Westmoreland Circuit Court
Hon. Gordon F. Willis,2008,Westmoreland Circuit Court
"Hon. Josiah T. Showalter Jr., Presiding Judge",2012,Wythe Circuit Court
"Hon. Robert M. D. Turk, Chief Judge",2012,Wythe Circuit Court
Hon. Brett L. Geisler,2012,Wythe Circuit Court
Hon. Colin R. Gibb,2012,Wythe Circuit Court
Hon. Marcus H. Long Jr.,2012,Wythe Circuit Court
Hon. Westbrook J. Parker~*,2005,Southampton Circuit Court
Hon. Rodham T. Delk Jr.,2005,Southampton Circuit Court
Hon. Carl Edward Eason Jr.,2005,Southampton Circuit Court
"Hon. C. Randall Lowe, Presiding Judge, Chief Judge",2012,Washington Circuit Court
Hon. Isaac St. C. Freeman,2012,Washington Circuit Court
"Hon. Cheryl V. Higgins, Presiding Judge",2014,Albemarle Circuit Court
"Hon. Timothy K. Sanner, Chief Judge",2014,Albemarle Circuit Court
Hon. Daniel R. Bouton,2014,Albemarle Circuit Court
Hon. Susan L. Whitlock,2014,Albemarle Circuit Court
"Hon. Joel C. Cunningham, Presiding Judge",2012,Buckingham Circuit Court
"Hon. Leslie M. Osborn, Chief Judge",2012,Buckingham Circuit Court
Hon. Charles J. Strauss~,2006,Pittsylvania Circuit Court
Hon. William N. Alexander II*,2006,Pittsylvania Circuit Court
Hon. David A. Melesco,2006,Pittsylvania Circuit Court
Hon. Joseph W. Milam Jr.,2006,Pittsylvania Circuit Court
"Hon. W. Allan Sharrett, Presiding Judge, Chief Judge",2011,Sussex Circuit Court
"Hon. Samuel E. Campbell, Presiding Judge",2011,Sussex Circuit Court
Hon. Colin R. Gibb~,2006,Pulaski Circuit Court
Hon. Brett L. Geisler*,2006,Pulaski Circuit Court
Hon. Ray Wilson Grubbs,2006,Pulaski Circuit Court
Hon. Josiah T. Showalter Jr.,2006,Pulaski Circuit Court
Hon. Robert M. D. Turk,2006,Pulaski Circuit Court
"Hon. Humes J. Franklin Jr., Presiding Judge, Chief Judge",2010,Staunton Circuit Court
Hon. Michael S. Irvine,2010,Staunton Circuit Court
Hon. Victor V. Ludwig,2010,Staunton Circuit Court
Hon. Malfourd W. Bo Trumbo,2010,Staunton Circuit Court
Hon. Richard S. Blanton~,2006,Prince Edward Circuit Court
Hon. William L. Wellons*,2006,Prince Edward Circuit Court
Hon. Leslie M. Osborn,2006,Prince Edward Circuit Court
"Hon. James F. D'Alton Jr., Chief Judge",2013,Amelia Circuit Court
Hon. Pamela S. Baskervill,2013,Amelia Circuit Court
Hon. Paul W. Cella,2013,Amelia Circuit Court
Hon. John J. McGrath Jr.~*,2008,Page Circuit Court
Hon. Dennis Lee Hupp,2008,Page Circuit Court
Hon. James V. Lane,2008,Page Circuit Court
Hon. John R. Prosser,2008,Page Circuit Court
Hon. John E. Wetsel Jr.,2008,Page Circuit Court
"Hon. Harry T. Taliaferro III, Presiding Judge",2010,Westmoreland Circuit Court
"Hon. J. Martin Bass, Chief Judge",2010,Westmoreland Circuit Court
Hon. David H. Beck,2010,Westmoreland Circuit Court
Hon. Joseph J. Ellis,2010,Westmoreland Circuit Court
Hon. J. Overton Harris,2010,Westmoreland Circuit Court
Hon. Horace A. Revercomb III,2010,Westmoreland Circuit Court
Hon. Charles S. Sharp,2010,Westmoreland Circuit Court
Hon. Gordon F. Willis,2010,Westmoreland Circuit Court
"Hon. Sage B. Johnson, Presiding Judge, Chief Judge",2015,Bristol Circuit Court
Hon. C. Randall Lowe,2015,Bristol Circuit Court
Hon. Deanis L. Simmons,2015,Bristol Circuit Court
Hon. Harry T. Taliaferro III~*,2006,Northumberland Circuit Court
Hon. John Richard Alderman,2006,Northumberland Circuit Court
Hon. J. Martin Bass,2006,Northumberland Circuit Court
Hon. H. Harrison Braxton Jr.,2006,Northumberland Circuit Court
Hon. George Mason III,2006,Northumberland Circuit Court
Hon. Horace A. Revercomb III,2006,Northumberland Circuit Court
Hon. John W. Scott Jr.,2006,Northumberland Circuit Court
Hon. Ann Hunter Simpson,2006,Northumberland Circuit Court
Hon. David F. Pugh~*,2006,Newport News Circuit Court
Hon. H. Vincent Conway Jr.~,2006,Newport News Circuit Court
Hon. Timothy S. Fisher~,2006,Newport News Circuit Court
Hon. Aundria Deloris Foster~,2006,Newport News Circuit Court
Hon. C. Peter Tench~,2006,Newport News Circuit Court
Hon. Walter W. Stout III~*,2007,Richmond Circuit Court
Hon. Bradley B. Cavedo~,2007,Richmond Circuit Court
Hon. Melvin R. Hughes Jr.~,2007,Richmond Circuit Court
Hon. C. N. Jenkins Jr.~,2007,Richmond Circuit Court
Hon. Theodore J. Markow~,2007,Richmond Circuit Court
Hon. Beverly W. Snukals~,2007,Richmond Circuit Court
Hon. Margaret P. Spencer~,2007,Richmond Circuit Court
Hon. Richard D. Taylor Jr.~,2007,Richmond Circuit Court
"Hon. Josiah T. Showalter Jr., Presiding Judge",2013,Wythe Circuit Court
"Hon. Marcus H. Long Jr., Chief Judge",2013,Wythe Circuit Court
Hon. Brett L. Geisler,2013,Wythe Circuit Court
Hon. Colin R. Gibb,2013,Wythe Circuit Court
Hon. Robert M. D. Turk,2013,Wythe Circuit Court
"Hon. Richard Y. AtLee Jr., Chief Judge",2014,Williamsburg/James City County Circuit Court
Hon. Thomas B. Hoover,2014,Williamsburg/James City County Circuit Court
Hon. Michael E. McGinty,2014,Williamsburg/James City County Circuit Court
Hon. Westbrook J. Parker~*,2006,Southampton Circuit Court
Hon. Rodham T. Delk Jr.,2006,Southampton Circuit Court
Hon. Carl Edward Eason Jr.,2006,Southampton Circuit Court
"Hon. James W. Updike Jr., Presiding Judge",2012,Bedford Circuit Court
"Hon. John T. Cook, Chief Judge",2012,Bedford Circuit Court
Hon. J. Michael Gamble,2012,Bedford Circuit Court
Hon. Mosby Garland Perrow III,2012,Bedford Circuit Court
Hon. F. Patrick Yeatts,2012,Bedford Circuit Court
Hon. Richard S. Blanton~,2008,Prince Edward Circuit Court
Hon. William L. Wellons*,2008,Prince Edward Circuit Court
Hon. Leslie M. Osborn,2008,Prince Edward Circuit Court
"Hon. Dennis Lee Hupp, Presiding Judge",2010,Warren Circuit Court
"Hon. John R. Prosser, Chief Judge",2010,Warren Circuit Court
Hon. James V. Lane,2010,Warren Circuit Court
Hon. John E. Wetsel Jr.,2010,Warren Circuit Court
Hon. Thomas J. Wilson IV,2010,Warren Circuit Court
"Hon. Kimberley S. White, Presiding Judge",2013,Buckingham Circuit Court
"Hon. Leslie M. Osborn, Chief Judge",2013,Buckingham Circuit Court
Hon. Joel C. Cunningham,2013,Buckingham Circuit Court
"Hon. C. Randall Lowe, Presiding Judge, Chief Judge",2013,Washington Circuit Court
Hon. Isaac St. C. Freeman,2013,Washington Circuit Court
Hon. Sage B. Johnson,2013,Washington Circuit Court
Hon. James V. Lane~,2009,Page Circuit Court
Hon. Thomas J. Wilson IV~,2009,Page Circuit Court
Hon. John R. Prosser*,2009,Page Circuit Court
Hon. Dennis Lee Hupp,2009,Page Circuit Court
Hon. John E. Wetsel Jr.,2009,Page Circuit Court
"Hon. Pamela S. Baskervill, Chief Judge",2014,Amelia Circuit Court
Hon. Paul W. Cella,2014,Amelia Circuit Court
