,Court,Last Hearing Date,Court ID
2127,Amherst,05/05/2020,009C
2131,Amherst,10/14/2020,009C
2154,Appomattox,10/29/2020,011C
2155,Appomattox,12/03/2020,011C
2157,Appomattox,02/27/2020,011C
2158,Appomattox,02/13/2020,011C
2160,Appomattox,10/15/2020,011C
2162,Appomattox,03/12/2020,011C
2171,Appomattox,12/17/2020,011C
2174,Appomattox,08/27/2020,011C
2175,Appomattox,08/06/2020,011C
2176,Appomattox,12/10/2020,011C
2180,Appomattox,09/17/2020,011C
2185,Appomattox,07/30/2020,011C
2186,Appomattox,11/19/2020,011C
2204,Appomattox,01/09/2020,011C
2211,Appomattox,06/25/2020,011C
2225,Appomattox,01/16/2020,011C
2226,Appomattox,10/22/2020,011C
2233,Appomattox,03/05/2020,011C
2247,Appomattox,01/30/2020,011C
2251,Appomattox,05/21/2020,011C
2253,Appomattox,11/12/2020,011C
2262,Appomattox,07/09/2020,011C
2275,Appomattox,05/28/2020,011C
2286,Appomattox,06/04/2020,011C
2321,Appomattox,01/02/2020,011C
2324,Appomattox,02/20/2020,011C
2340,Appomattox,01/23/2020,011C
2341,Appomattox,06/11/2020,011C
2358,Appomattox,07/16/2020,011C
2359,Appomattox,07/23/2020,011C
2399,Appomattox,10/08/2020,011C
2408,Appomattox,05/27/2020,011C
2410,Appomattox,10/01/2020,011C
2412,Appomattox,05/14/2020,011C
2430,Appomattox,06/18/2020,011C
2456,Arlington,02/26/2020,013C
2458,Arlington,06/26/2020,013C
2459,Arlington,02/14/2020,013C
2460,Arlington,06/24/2020,013C
2462,Arlington,10/22/2020,013C
2463,Arlington,01/16/2020,013C
2464,Arlington,06/05/2020,013C
2466,Arlington,06/16/2020,013C
2467,Arlington,05/20/2020,013C
2469,Arlington,02/07/2020,013C
2471,Arlington,12/14/2020,013C
2474,Arlington,07/10/2020,013C
2475,Arlington,06/15/2020,013C
2477,Arlington,09/18/2020,013C
2478,Arlington,11/20/2020,013C
2482,Arlington,01/24/2020,013C
2488,Arlington,07/31/2020,013C
2490,Arlington,09/04/2020,013C
2492,Arlington,07/22/2020,013C
2493,Arlington,07/29/2020,013C
2494,Arlington,05/29/2020,013C
2496,Arlington,08/07/2020,013C
2500,Arlington,11/06/2020,013C
2511,Arlington,02/13/2020,013C
2514,Arlington,10/14/2020,013C
2516,Arlington,02/19/2020,013C
2517,Arlington,10/30/2020,013C
2518,Arlington,01/15/2020,013C
2520,Arlington,04/15/2020,013C
2521,Arlington,04/03/2020,013C
2526,Arlington,07/16/2020,013C
2527,Arlington,06/12/2020,013C
2528,Arlington,06/19/2020,013C
2529,Arlington,10/16/2020,013C
2530,Arlington,02/06/2020,013C
2531,Arlington,06/10/2020,013C
2534,Arlington,08/14/2020,013C
2537,Arlington,03/06/2020,013C
2538,Arlington,01/10/2020,013C
2540,Arlington,03/12/2020,013C
2541,Arlington,07/13/2020,013C
2543,Arlington,11/13/2020,013C
2548,Arlington,08/05/2020,013C
2553,Arlington,02/03/2020,013C
2557,Arlington,07/17/2020,013C
2563,Arlington,05/01/2020,013C
2565,Arlington,07/23/2020,013C
2566,Arlington,02/21/2020,013C
2577,Arlington,09/25/2020,013C
2587,Arlington,07/01/2020,013C
2613,Arlington,01/02/2020,013C
2616,Arlington,12/18/2020,013C
2638,Arlington,10/02/2020,013C
2643,Arlington,12/10/2020,013C
2644,Arlington,01/06/2020,013C
2648,Arlington,03/13/2020,013C
2653,Arlington,08/21/2020,013C
2660,Arlington,10/23/2020,013C
2662,Arlington,09/30/2020,013C
2668,Arlington,01/23/2020,013C
2672,Arlington,01/30/2020,013C
2690,Arlington,07/24/2020,013C
2693,Arlington,12/04/2020,013C
2698,Arlington,10/09/2020,013C
2705,Arlington,03/11/2020,013C
2710,Arlington,12/11/2020,013C
2721,Arlington,09/11/2020,013C
2737,Arlington,01/31/2020,013C
2738,Arlington,12/17/2020,013C
2746,Arlington,12/21/2020,013C
2748,Arlington,03/03/2020,013C
2749,Arlington,09/17/2020,013C
2753,Arlington,09/28/2020,013C
2774,Arlington,10/15/2020,013C
2777,Arlington,10/19/2020,013C
2782,Arlington,12/16/2020,013C
2788,Arlington,08/06/2020,013C
2791,Arlington,02/28/2020,013C
2792,Arlington,01/13/2020,013C
2805,Arlington,03/09/2020,013C
2817,Arlington,09/22/2020,013C
2818,Arlington,08/28/2020,013C
2828,Arlington,04/24/2020,013C
2833,Arlington,06/25/2020,013C
2839,Arlington,07/07/2020,013C
2862,Arlington,04/09/2020,013C
2863,Arlington,05/27/2020,013C
2864,Arlington,01/09/2020,013C
2867,Arlington,09/14/2020,013C
2877,Arlington,03/23/2020,013C
2885,Arlington,03/04/2020,013C
2887,Arlington,02/27/2020,013C
2896,Arlington,02/04/2020,013C
2901,Arlington,08/18/2020,013C
2924,Arlington,09/23/2020,013C
2939,Arlington,01/14/2020,013C
2952,Arlington,01/21/2020,013C
2970,Arlington,10/29/2020,013C
2971,Arlington,01/28/2020,013C
2977,Arlington,12/29/2020,013C
2986,Arlington,11/12/2020,013C
2999,Arlington,05/04/2020,013C
3003,Arlington,01/07/2020,013C
3012,Arlington,10/27/2020,013C
3067,Arlington,09/09/2020,013C
3084,Arlington,06/23/2020,013C
3085,Arlington,11/18/2020,013C
3087,Arlington,08/10/2020,013C
3099,Arlington,06/11/2020,013C
3107,Arlington,02/10/2020,013C
3108,Arlington,02/11/2020,013C
3142,Augusta,03/11/2020,015C
3143,Augusta,01/27/2020,015C
3144,Augusta,09/04/2020,015C
3145,Augusta,09/10/2020,015C
3146,Augusta,06/26/2020,015C
3147,Augusta,12/18/2020,015C
3149,Augusta,12/17/2020,015C
3150,Augusta,02/13/2020,015C
3151,Augusta,07/28/2020,015C
3153,Augusta,03/05/2020,015C
3157,Augusta,08/14/2020,015C
3159,Augusta,11/09/2020,015C
3161,Augusta,11/12/2020,015C
3162,Augusta,01/08/2020,015C
3163,Augusta,12/10/2020,015C
3165,Augusta,09/16/2020,015C
3168,Augusta,02/26/2020,015C
3172,Augusta,10/13/2020,015C
3175,Augusta,03/12/2020,015C
3176,Augusta,01/13/2020,015C
3177,Augusta,10/15/2020,015C
3181,Augusta,12/15/2020,015C
