Judge Full Name,Year,Court Name,Judge
C R Gibb,2001,Giles,CRG
D E Mink,2001,Giles,DEM
J C Campbell,2001,Giles,JCC
R M D Turk,2001,Giles,RMDT
Gwynne J Chatham,2004,Westmoreland,GJC
Harry T Taliaferro ,2004,Westmoreland,HTT
Ann Hunter Simpson,2004,Westmoreland,AHS
John Richard Alderman,2004,Westmoreland,JRA
James W Haley ,2004,Westmoreland,JWH
William H Ledbetter ,2004,Westmoreland,WHL
Horace A Revercomb ,2004,Westmoreland,HAR
John Whittier Scott ,2004,Westmoreland,JWS
W Allan Sharrett,2007,Sussex,WAS
Samuel E Campbell,2007,Sussex,SEC
Dennis Lee Hupp,2008,Warren,DLH
John R Prosser,2008,Warren,JRP
James  Lane,2008,Warren,JL
John E Wetsel ,2008,Warren,JEW
Thomas J Wilson ,2008,Warren,TJW
Harry T Taliaferro  ,2009,Westmoreland,HTT
J Martin Bass ,2009,Westmoreland,JMB
David H Beck,2009,Westmoreland,DHB
Joseph J Ellis,2009,Westmoreland,JJE
J Overton Harris,2009,Westmoreland,JOH
Horace A Revercomb ,2009,Westmoreland,HAR
Charles S Sharp,2009,Westmoreland,CSS
Gordon F Willis,2009,Westmoreland,GFW
Gary M Williams,2005,Sussex,GMW
Samuel E Campbell,2005,Sussex,SEC
W Allan Sharrett,2005,Sussex,WAS
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
Jennifer R Sims,2003,Warren,JRS
Dennis Lee Hupp,2003,Warren,DLH
John E Wetsel ,2003,Warren,JEW
James  Lane,2003,Warren,JL
John J McGrath ,2003,Warren,JJM
John R Prosser,2003,Warren,JRP
Gwynne J Chatham,2004,Westmoreland,GJC
Harry T Taliaferro ,2004,Westmoreland,HTT
John Richard Alderman,2004,Westmoreland,JRA
James W Haley ,2004,Westmoreland,JWH
William H Ledbetter ,2004,Westmoreland,WHL
Horace A Revercomb ,2004,Westmoreland,HAR
John Whittier Scott ,2004,Westmoreland,JWS
Ann Hunter Simpson,2004,Westmoreland,AHS
W Allan Sharrett,2008,Sussex,WAS
Samuel E Campbell,2008,Sussex,SEC
Dennis Lee Hupp ,2009,Warren,DLH
John R Prosser ,2009,Warren,JRP
James  Lane,2009,Warren,JL
John E Wetsel ,2009,Warren,JEW
Thomas J Wilson ,2009,Warren,TJW
R W Grubbs,2001,Giles,RWG
C R Gibb,2001,Giles,CRG
D E Mink,2001,Giles,DEM
J C Campbell,2001,Giles,JCC
R M D Turk,2001,Giles,RMDT
Gary M Williams,2005,Sussex,GMW
Samuel E Campbell,2005,Sussex,SEC
W Allan Sharrett,2005,Sussex,WAS
T  Warren,2001,Dinwiddie,TW
O A Pollard ,2001,Dinwiddie,OAP
J F DAlton ,2001,Dinwiddie,JFD
Jennifer R Sims,2003,Warren,JRS
Dennis Lee Hupp,2003,Warren,DLH
John E Wetsel ,2003,Warren,JEW
James  Lane,2003,Warren,JL
John J McGrath ,2003,Warren,JJM
John R Prosser,2003,Warren,JRP
Harry T Taliaferro  ,2011,Westmoreland,HTT
Gordon F Willis ,2011,Westmoreland,GFW
J Martin Bass,2011,Westmoreland,JMB
David H Beck,2011,Westmoreland,DHB
Joseph J Ellis,2011,Westmoreland,JJE
J Overton Harris,2011,Westmoreland,JOH
Charles S Sharp,2011,Westmoreland,CSS
W Allan Sharrett  ,2010,Sussex,WAS
Samuel E Campbell ,2010,Sussex,SEC
R W Grubbs,2001,Giles,RWG
C R Gibb,2001,Giles,CRG
D E Mink,2001,Giles,DEM
J C Campbell,2001,Giles,JCC
R M D Turk,2001,Giles,RMDT
Dennis Lee Hupp ,2010,Warren,DLH
James  Lane ,2010,Warren,JL
John R Prosser,2010,Warren,JRP
John E Wetsel ,2010,Warren,JEW
Thomas J Wilson ,2010,Warren,TJW
Gwynne J Chatham,2004,Westmoreland,GJC
Harry T Taliaferro ,2004,Westmoreland,HTT
John Richard Alderman,2004,Westmoreland,JRA
James W Haley ,2004,Westmoreland,JWH
