Judge,Year,Court
Hon William R. Light,2005,"901 Church St., 1st Floor"
Hon Vincent Austin Lilley,2005,P. O. Box 997
Hon Charles F. Lincoln,2005,109 W. Main St.
Hon William H. Logan Jr.,2005,P. O. Box 228
Hon Eugene E. Lohman,2005,Courthouse
Hon R. Bruce Long,2005,P. O. Box 873
Hon C. Randall Lowe,2005,189 East Main Street
Hon Frederick B. Lowe,2005,2425 Nimmo Parkway
Hon Victor V. Ludwig,2005,P. O. Box 1028
Hon Esther Wiggins Lyles,2005,P. O. Box 925
Hon Kathleen H. MacKay,2005,4110 Chain Bridge Road
Hon Stephen C. Mahan,2005,2425 Nimmo Parkway
Hon Theodore J. Markow,2005,400 North Ninth Street
Hon Ronald Harris Marks,2005,"2425 Nimmo Parkway, Building 10"
Hon Everett Armstrong Martin Jr.,2005,100 St. Paul's Boulevard
Hon George Mason III,2005,P. O. Box 688
Hon Joseph P. Massey,2005,800 East City Hall Avenue
Hon Alfred O. Masters Jr.,2005,"2500 Washington Avenue, Second Floor"
Hon James S. Mathews,2005,811 East City Hall Avenue
Hon Charles James Maxfield,2005,4000 Chain Bridge Road
Hon Burke F. McCahill,2005,P. O. Box 550
Hon Elizabeth A. McClanahan,2005,Court of Appeals of Virginia
Hon Teresa N. McCrimmon,2005,2425 Nimmo Parkway
Hon Richard J. McCue,2005,1425 North Courthouse Road
Hon Donald Patrick McDonough,2005,4110 Chain Bridge Road
Hon John J. McGrath Jr.,2005,Court Square
Hon A. Lee McGratty,2005,113 E. Beverley St. 1st Floor
Hon Michael P. McWeeny,2005,4110 Chain Bridge Road
Hon David A. Melesco,2005,275 South Main Street
Hon Joseph W. Milam Jr.,2005,P. O. Box 3300
Hon B. Bryan Milbourne,2005,P. O. Box 299
Hon Burnett Miller III,2005,P. O. Box 27032
Hon Leroy Francis Millette Jr.,2005,Circuit Court Chambers
Hon Gary A. Mills,2005,2500 Washington Avenue
Hon William J. Minor Jr.,2005,4110 Chain Bridge Road
Hon John Gregory Mooney,2005,P. O. Box 139
Hon Becky J. Moore,2005,P. O. Box 20206
Hon James A. Moore,2005,P. O. Box 1648
Hon Michael Lee Moore,2005,P.O. Box 968
Hon William R. Moore Jr.,2005,P. O. Box 81
Hon William S. Moore Jr.,2005,P. O. Box 1073
Hon Stacey W. Moreau,2005,P. O. Box 270
Hon S. Lee Morris,2005,P. O. Box 129
Hon John C. Morrison Jr.,2005,100 St. Paul's Boulevard
Hon Johnny E. Morrison,2005,P. O. Box 1217
Hon Norman deV. Morrison,2005,P. O. Box 612
Hon Roger L. Morton,2005,135 West Cameron Street
Hon J. Leyburn Mosby Jr.,2005,P. O. Box 4
Hon Thomas Leroy Murphey,2005,P. O. Box 144
Hon Mitchell I. Mutnick,2005,4110 Chain Bridge Road
Hon S. Anderson Nelson,2005,P. O. Box 340
Hon William T. Newman Jr.,2005,1425 North Courthouse Road
Hon R. Terrence Ney,2005,4110 Chain Bridge Road
Hon Kenneth Wilson Nye,2005,100 E. Broadway
Hon Mary Grace O'Brien,2005,9311 Lee Avenue
Hon Kimberly B. O'Donnell,2005,Oliver Hill Courts Building
Hon Ian Michael O'Flaherty,2005,4110 Chain Bridge Road
Hon Eileen Anita Olds,2005,301 Albemarle Drive
Hon Leslie M. Osborn,2005,393 Washington Street
Hon Nelson T. Overton,2005,Court of Appeals of Virginia
Hon Anna Elisabeth Oxenham,2005,P. O. Box 27032
Hon H. Thomas Padrick Jr.,2005,2425 Nimmo Parkway
Hon J. Larry Palmer,2005,100 E. Broadway
Hon Jeffrey W. Parker,2005,40 Culpeper Street
Hon Westbrook J. Parker,2005,P.O. Box 190
Hon Albert W. Patrick III,2005,P. O. Box 70
Hon John A. Paul,2005,53 Court Square
Hon Deborah M. Paxson,2005,"2425 Nimmo Parkway, Building 10"
Hon H. Dudley Payne Jr.,2005,14 Main Street
Hon Paul M. Peatross Jr.,2005,"Court Square, Room 225"
Hon Charles A. Perkinson Jr.,2005,102 East Hicks Street
Hon Mosby Garland Perrow III,2005,P. O. Box 4
Hon David F. Peterson,2005,701 Princess Anne Street
Hon Robert B. Phillips,2005,P. O. Box 276
Hon Gammiel Gray Poindexter,2005,P. O. Box 187
Hon Charles Evans Poston,2005,100 St. Paul's Boulevard
Hon Richard Bowen Potter,2005,Circuit Court Chambers
Hon Cleo E. Powell,2005,P.O. Box 57
Hon Samuel T. Powell III,2005,5201 Monticello Avenue
Hon John R. Prosser,2005,5 North Kent Street
Hon David F. Pugh,2005,2500 Washington Avenue
Hon Robert A. Pustilnik,2005,John Marshall Courts Building
Hon John C. Quigley Jr.,2005,1 East Main St
Hon Michael Miller Rand,2005,P. O. Box 430
Hon Julian H. Raney Jr.,2005,315 W. Church Ave. S.W.
Hon Deborah L. Rawls,2005,"2425 Nimmo Parkway, Building 10"
Hon Merlin M. Renne,2005,P. O. Box 316
Hon Horace A. Revercomb III,2005,9483 Kings Highway #3
Hon Stephen W. Rideout,2005,P. O. Box 21461
Hon Edward A. Robbins Jr.,2005,P.O. Box 520
Hon Angela Edwards Roberts,2005,Oliver Hill Courts Building
Hon James Bailey Robeson,2005,9311 Lee Avenue
Hon Frederick Gore Rockwell III,2005,P.O. Box 57
Hon Alan E. Rosenblatt,2005,2425 Nimmo Parkway
Hon Jane Marum Roush,2005,4110 Chain Bridge Road
Hon Gregory L. Rupe,2005,905 Decatur Street
Hon Charles S. Russell,2005,Supreme Court of Virginia
Hon Timothy K. Sanner,2005,P.O. Box 799
Hon Gordon F. Saunders,2005,150 South Main Street
Hon David Stanford Schell,2005,4000 Chain Bridge Road
Hon John W. Scott Jr.,2005,815 Princess Ann Street
Hon Birg E. Sergent,2005,P. O. Box 326
Hon Joseph Michael Serkes,2005,P. O. Box 514
Hon Thomas S. Shadrick,2005,2425 Nimmo Parkway
Hon William W. Sharp,2005,P. O. Box 1618
Hon W. Allan Sharrett,2005,P. O. Box 631
Hon William H. Shaw III,2005,P.O. Box 576
Hon Louis Allen Sherman,2005,Room 183
Hon A. Bonwill Shockley,2005,2425 Nimmo Parkway
Hon James Michael Shull,2005,Courthouse
Hon Charles F. Sievers,2005,9311 Lee Avenue
Hon Mark C. Simmons,2005,4110 Chain Bridge Road
Hon Ann Hunter Simpson,2005,P.O. Box 895
Hon Robert L. Simpson Jr.,2005,2425 Nimmo Parkway
Hon Joan C. Skeppstrom,2005,800 East City Hall Avenue
Hon Lorraine Nordlund Skipper,2005,4110 Chain Bridge Road
Hon N. Prentis Smiley Jr.,2005,P. O. Box 371
Hon Dennis J. Smith,2005,4110 Chain Bridge Road
Hon James H. Smith,2005,P. O. Box 357
Hon Robert J. Smith,2005,4110 Chain Bridge Road
Hon Beverly W. Snukals,2005,400 North Ninth Street
Hon Denis F. Soden,2005,P. O. Box 27032
Hon Frank W. Somerville,2005,P. O. Box 821
Hon Valentine W. Southall Jr.,2005,P. O. Box 24
Hon Margaret Poles Spencer,2005,400 North Ninth Street
Hon Peter W. Steketee,2005,9311 Lee Avenue
Hon Roscoe B. Stephenson Jr.,2005,Supreme Court of Virginia
Hon John R. Stevens,2005,P. O. Box 180
Hon L. Neil Steverson,2005,P. O. Box 27032
Hon M. Lee Stilwell Jr.,2005,P.O. Box 3300
Hon David T. Stitt,2005,4110 Chain Bridge Road
Hon Charles M. Stone,2005,P.O. Box 1347
Hon Walter W. Stout III,2005,400 North Ninth Street
Hon Charles J. Strauss,2005,P.O. Box 1042
Hon J. Robert Stump,2005,P.O. Box 1980
Hon Bryant L. Sugg,2005,2500 Washington Avenue
Hon James R. Swanson,2005,305 East Main Street
Hon Dean W. Sword Jr.,2005,P. O. Box 1217
Hon Jacqueline F. Ward Talevi,2005,315 W. Church Ave. S.W.
Hon Harry T. Taliaferro III,2005,P. O. Box 1000
Hon Alfreda Talton-Harris,2005,P. O. Box 1648
Hon Joseph S. Tate,2005,109 West Main Street
Hon Joi Jeter Taylor,2005,John Marshall Courts Building
Hon Lydia Calvert Taylor,2005,100 St. Paul's Boulevard
Hon Ramona D. Taylor,2005,"2425 Nimmo Parkway, Building 10"
Hon Richard D. Taylor Jr.,2005,Tenth & Hull Streets
Hon Wilford Taylor Jr.,2005,P. O. Box 40
Hon C. Peter Tench,2005,2500 Washington Avenue
Hon Jonathan C. Thacher,2005,4110 Chain Bridge Road
Hon Norman A. Thomas,2005,100 St. Paul's Boulevard
Hon James L. Tompkins III,2005,Courthouse
Hon Winship C. Tower,2005,"2425 Nimmo Parkway, Building 10"
Hon Wenda Kavanagh Travers,2005,9311 Lee Avenue
Hon Peter L. Trible,2005,P. O. Box 176
Hon Alfred M. Tripp,2005,Room 160
Hon Philip Trompeter,2005,Courthouse Bldg
Hon Malfourd W.  Bo Trumbo,2005,P. O. Box 670
Hon Paul A. Tucker,2005,150 South Main Street
Hon Robert M. D. Turk,2005,"One East Main Street, Room 409"
Hon Edward M. Turner III,2005,P.O. Box 698
Hon Glen Allen Tyler,2005,P.O. Box 126
Hon James W. Updike Jr.,2005,123 East Main St.
Hon Michael J. Valentine,2005,4000 Chain Bridge Road
Hon Henry A. Vanover,2005,Box 190
Hon George D. Varoutsos,2005,P. O. Box 925
Hon Thomas L. Vaughn,2005,P. O. Box 144
Hon Robert C. Viar Jr.,2005,1 East Main Street
Hon Arthur B. Vieregg Jr.,2005,4110 Chain Bridge Road
Hon Philip Arthur Wallace,2005,123 East Main Street
Hon Charles H. Warren,2005,911 Madison Street
Hon Junius P. Warren,2005,P. O. Box 751
Hon Thomas V. Warren,2005,P.O. Box 62
Hon Jacqueline R. Waymack,2005,100 East Broadway
Hon Clifford R. Weckstein,2005,P.O. Box 211
Hon William L. Wellons,2005,11435 Courthouse Road
Hon Patricia L. West,2005,2425 Nimmo Parkway
Hon John E. Wetsel Jr.,2005,5 North Kent Street
Hon Herman A. Whisenant Jr.,2005,Circuit Court Chambers
Hon David Shaw Whitacre,2005,Judicial Center
Hon A. Ellen White,2005,P. O. Box 220
Hon Colon H. Whitehurst,2005,307 Albemarle Drive
Hon Susan L. Whitlock,2005,P. O. Box 452
Hon Morton V. Whitlow,2005,P. O. Box 129
