Judge,Title,Initials
 Dean W Sword ,Hon,DWS
 Jacqueline F Ward Talevi,Hon,JFWT
 Harry T Taliaferro ,Hon,HTT
 Alfreda Talton Harris,Hon,ATH
 Joseph S Tate,Hon,JST
 Joi Jeter Taylor,Hon,JJT
 Lydia Calvert Taylor,Hon,LCT
 Ramona D Taylor,Hon,RDT
 Richard D Taylor ,Hon,RDT
 Wilford Taylor ,Hon,WT
 C Peter Tench,Hon,CPT
 Jonathan C Thacher,Hon,JCT
 Norman A Thomas,Hon,NAT
 James L Tompkins ,Hon,JLT
 Winship C Tower,Hon,WCT
 Wenda Kavanagh Travers,Hon,WKT
 Peter L Trible,Hon,PLT
 Alfred M Tripp,Hon,AMT
 Philip Trompeter,Hon,PT
 Malfourd W  Bo Trumbo,Hon,MWBT
 Paul A Tucker,Hon,PAT
 Robert M D Turk,Hon,RMDT
 Edward M Turner ,Hon,EMT
 Glen Allen Tyler,Hon,GAT
 James W Updike ,Hon,JWU
 Michael J alentine,Hon,MJa
 Henry A anover,Hon,HAa
 George D aroutsos,Hon,GDa
 Thomas L aughn,Hon,TLa
 Robert C iar ,Hon,RCi
 Arthur B ieregg ,Hon,ABi
 Philip Arthur Wallace,Hon,PAW
 Charles H Warren,Hon,CHW
 Junius P Warren,Hon,JPW
 Thomas  Warren,Hon,TW
 Jacqueline R Waymack,Hon,JRW
 Clifford R Weckstein,Hon,CRW
 William L Wellons,Hon,WLW
 Patricia L West,Hon,PLW
 John E Wetsel ,Hon,JEW
 Herman A Whisenant ,Hon,HAW
 David Shaw Whitacre,Hon,DSW
 A Ellen White,Hon,AEW
 Colon H Whitehurst,Hon,CHW
 Susan L Whitlock,Hon,SLW
 Morton  Whitlow,Hon,MW
 Bruce A Wilcox,Hon,BAW
 Dale M Wiley,Hon,DMW
 Sharon B Will,Hon,SBW
 David L Williams,Hon,DLW
 David ictor Williams,Hon,DiW
 Gino W Williams,Hon,GWW
 Keary R Williams,Hon,KRW
 Marcus D Williams,Hon,MDW
 Stuart L Williams ,Hon,SLW
 William P Williams,Hon,WPW
 Alotha C Willis,Hon,ACW
 Gordon F Willis,Hon,GFW
 Jere MH Willis ,Hon,JMW
 Larry D Willis,Hon,LDW
 Elizabeth S Wills,Hon,ESW
 Robert B Wilson ,Hon,RBW
 Thomas H Wood,Hon,THW
 Robert G Woodson ,Hon,RGW
 Gene A Woolard,Hon,GAW
 Robert W Wooldridge ,Hon,RWW
 Dean S Worcester,Hon,DSW
 Timothy S Wright,Hon,TSW
 Archer L Yeatts ,Hon,ALY
 Beverly R Anderson,Hon,BRA
 A Nicole Armentrout,Hon,ANA
 Gayle Ashworth,Hon,GA
 Gail H Barb,Hon,GHB
 Denise F Barb,Hon,DFB
 David A Bell,Hon,DAB
 Jim M Bevins ,Hon,JMB
 Carol W Black,Hon,CWB
 James E Blevins,Hon,JEB
 Malcolm Booker ,Hon,MB
 Peggy A Bostic,Hon,PAB
 Diane Bruce,Hon,DB
 Allan C Burke,Hon,ACB
 Karen A Butler,Hon,KAB
 Helen Butts,Hon,HB
 E E Callis ,Hon,EEC
 Ray S Campbell ,Hon,RSC
 Darlene W Carpenter,Hon,DWC
 W R Carter ,Hon,WRC
 Gwynne J Chatham,Hon,GJC
 Gail P Clayton,Hon,GPC
 Gary M Clemens,Hon,GMC
 Christopher W Coleman,Hon,CWC
 E E Coleman ,Hon,EEC
 Dollie M Compton,Hon,DMC
 Robert W Conner,Hon,RWC
 Samuel H Cooper ,Hon,SHC
 Wayne M Cosby,Hon,WMC
 Kathy P Crane,Hon,KPC
 Chance Crawford,Hon,CC
 Rex A Davis,Hon,RAD
 John B Davis,Hon,JBD
 Bevill M Dean,Hon,BMD
 Bevill M Dean,Hon,BMD
 Barbara G Decatur,Hon,BGD
 Sue K Dudley,Hon,SKD
 Marie C Durrer,Hon,MCD
 Machelle J Epps,Hon,MJE
 Gordon F Erby,Hon,GFE
 Stuart B Fallen,Hon,SBF
 Rosa S Forrester,Hon,RSF
 John T Frey,Hon,JTF
 Paul C Garrett,Hon,PCG
 Susan C Gasperini,Hon,SCG
 C Ann Gentry,Hon,CAG
 Gerald A Gibson,Hon,GAG
 Alice Hall,Hon,AH
 Brenda S Hamilton,Hon,BSH
 Frank D Hargrove ,Hon,FDH
 L Wayne Harper,Hon,LWH
 H F Haymore ,Hon,HFH
 ickie Stone Helmstutler,Hon,iSH
 Rebecca P Hogan,Hon,RPH
 Carolyn H eycutt,Hon,CHe
 Susan R Hopkins,Hon,SRH
 Hayden H Horney,Hon,HHH
 Deborah E Hughes,Hon,DEH
 Lynn Jenkins,Hon,LJ
 Rebecca  Johnson,Hon,RJ
 Constance Kennedy,Hon,CK
 J Jack Kennedy ,Hon,JJK
 James W King,Hon,JWK
 Bishop Knott ,Hon,BK
 William E Laine ,Hon,WEL
 Deborah F Longest,Hon,DFL
 R Glennwood Lookabill,Hon,RGL
 David C Mabie,Hon,DCM
 Shelby J Marshall,Hon,SJM
 Charles  Mason,Hon,CM
 William E Maxey ,Hon,WEM
 Roy C Mayo ,Hon,RCM
 Steven A McGraw Sr,Hon,SAMS
 Paul M Metzger,Hon,PMM
 Sharron S Mitchell,Hon,SSM
 Faye W Mitchell,Hon,FWM
 Tommy L Moore,Hon,TLM
 Cynthia P Morrison,Hon,CPM
 Patricia M Norman,Hon,PMN
 Carol Ownby,Hon,CO
 Larry B Palmer,Hon,LBP
 D Bruce Patterson,Hon,DBP
 Patricia M Payne,Hon,PMP
 Wendell G Peters,Hon,WGP
 Bouson E Peterson ,Hon,BEP
 Ashby R Pritchett,Hon,ARP
 Kay H Rackley,Hon,KHR
 Scarlet B Ratcliffe,Hon,SBR
 Thomas E Roberts,Hon,TER
 Terry G Rohr,Hon,TGR
 George E Schaefer,Hon,GES
 Benjamin O Scott,Hon,BOS
 Edward Semonian ,Hon,ES
 Jennifer R Sims,Hon,JRS
 Tina E Sinnen,Hon,TES
 Linda Batchelor Smith,Hon,LBS
 Yvonne G Smith,Hon,YGS
 Judy Stevens Smythers,Hon,JSS
 Stacy L Stafford,Hon,SLS
  Earl Stanley ,Hon,ES
 Charles T Sturgill,Hon,CTS
 Joseph H Tate,Hon,JHT
 Mark A (Bo) Taylor,Hon,MA(T
 J Steve Thomas Sr,Hon,JSTS
 Linda S Timmons,Hon,LST
 Lee G Turner,Hon,LGT
 Zelda S aughn,Hon,ZSa
 Peggy W Walton,Hon,PWW
 Jimmy L Warren,Hon,JLW
 Caroline Watts,Hon,CW
 Terry H Whittle,Hon,THW
 Gary M Williams,Hon,GMW
 Barbara R Williams,Hon,BRW
 Annie L Williams,Hon,ALW
 Thomas R Williams,Hon,TRW
 Marilyn Wilson,Hon,MW
 C R Wilson,Hon,CRW
 Michael D Wolfe,Hon,MDW
 Betsy B Woolridge,Hon,BBW
 Betsy B Woolridge,Hon,BBW
 Judy L Worthington,Hon,JLW
 Robert C Wrenn,Hon,RCW
 G Steven Agee,Hon,GSA
 Leslie M Alden,Hon,LMA
 John Richard Alderman,Hon,JRA
 William N Alexander ,Hon,WNA
 Michael Coghlan Allen,Hon,MCA
 James F Almand,Hon,JFA
 Joanne F Alper,Hon,JFA
 Rossie D Alston ,Hon,RDA
 Thomas M Ammons ,Hon,TMA
 William Chapman Andrews ,Hon,WCA
 Rosemarie P Annunziata,Hon,RPA
 Jonathan M Apgar,Hon,JMA
 R Morgan Armstrong,Hon,RMA
 sabel Hall Atlee,Hon,sHA
 Daniel T Balfour,Hon,DTB
 Rufus A Banks ,Hon,RAB
 William G Barkley,Hon,WGB
 Pamela S Baskervill,Hon,PSB
 J Martin Bass,Hon,JMB
 David H Beck,Hon,DHB
 William Alan Becker,Hon,WAB
 Randy  Bellows,Hon,RB
 Ronald Everett Bensten,Hon,REB
 James W Benton ,Hon,JWB
 Edward DeJ Berry,Hon,EDB
 Garland L Bigley,Hon,GLB
 Harold A Black,Hon,HAB
 Richard S Blanton,Hon,RSB
 Randall M Blow,Hon,RMB
 Joseph Phillips Bounds,Hon,JPB
 Daniel R Bouton,Hon,DRB
