Judge
""
Ms Denise M. Hain
Hon Alice Hall
Ms Opal R. Hall
Ms Opal R. Hall
Ms Kathleen Hall
Ms D. Carol Hamer
Hon Brenda S. Hamilton
Ms Dorothy P. Hamlet
Mr Steven Wayne Hammock
Ms Phyllis P. Hamric
Hon Frank D. Hargrove Jr.
Hon L. Wayne Harper
Patricia Harrington
Ms Deborah A. Hatcher
Hon H. F. Haymore Jr.
Ms Wetawna G. Hays
Ms Frances H. Hedrick
Ms Carolyn Z. Helgeson
Hon Vickie Stone Helmstutler
Ms Jody D. Hess
Mr David Michael Hicks
Ms Debra A. Hill
Ms Brenda Smart Hines
Hon Rebecca P. Hogan
Ms Lizabeth H. Holdaway
Ms Edith Kendall Holmes
Hon Carolyn H. Honeycutt
Hon Susan R. Hopkins
Hon Hayden H. Horney
Ms Sammie R. Horton
Mr Carlton L. Hudson
Hon Deborah E. Hughes
Ms Wendy Sides Hughes
Ms Judy W. Hupman
Ms Susan S. Hutchison
Ms Rebecca D. Inge
Ms Judy P. Jamerson
Hon Lynn Jenkins
Ms Christalyn Mitchell Jett
Hon Rebecca I. Johnson
Ms Traci L. Johnson
Ms Belinda J. Jones
Ms Betty W. Justis
Hon Constance Kennedy
Hon J. Jack Kennedy Jr.
Hon James W. King
Hon Bishop Knott Jr.
Ms Daina L. Kubasak
Hon William E. Laine Jr.
Ms Nancy L. Lake
Ms Nancy L. Lake
Ms Tami A. Leonard
Ms Beverly J. Lewis
Ms Cynthia Owen Lewis
Ms Ann B. Lloyd
Ms Ann B. Lloyd
Ms Nancy J. Long
Ms Nancy J. Long
Hon Deborah F. Longest
Hon R. Glennwood Lookabill
Ms Linda L. Lunceford
Hon David C. Mabie
Ms Patricia A. Maher-Wade
Ms Elaine E. Maitland
Hon Shelby J. Marshall
Ms Ann C. Martin
Hon Charles V. Mason
Ms Katherine L. Mason
Ms Nancy H. Massie
Ms Dorothy B. Mathers
Ms Dorothy B. Mathers
Hon William E. Maxey Jr.
Ms Shelby Mayo
Hon Roy C. Mayo III
Cynthia L. McCoy
Hon Steven A. McGraw Sr.
Ms Brenda R. McWilliams
Ms Pamela M. Meadows
Ms Karen Sparrow Merritt
Hon Paul M. Metzger
Ms Evidene H. Milgrim
Ms Betty B. Miller
Ms Barbara B Miller
Ms Joan M. Millward
Ms Glenda H. Minga
Hon Sharron S. Mitchell
Hon Faye W. Mitchell
Ms Joyce S. Mitchell
Ms Joyce S. Mitchell
Ms Phyllis M. Modisett
Hon Tommy L. Moore
