Judge,Year,Court
Hon. Robert P. Doherty Jr.,2009,Roanoke City Circuit Court
Hon. James R. Swanson,2009,Roanoke City Circuit Court
"Hon. Robert M. D. Turk, Chief Judge",2012,Floyd Circuit Court
Hon. Brett L. Geisler,2012,Floyd Circuit Court
Hon. Colin R. Gibb,2012,Floyd Circuit Court
Hon. Marcus H. Long Jr.,2012,Floyd Circuit Court
Hon. Josiah T. Showalter Jr.,2012,Floyd Circuit Court
"Hon. James V. Lane, Chief Judge",2012,Frederick Circuit Court
Hon. Dennis Lee Hupp,2012,Frederick Circuit Court
Hon. John E. Wetsel Jr.,2012,Frederick Circuit Court
Hon. Thomas J. Wilson IV,2012,Frederick Circuit Court
Hon. Dennis Lee Hupp~,2006,Shenandoah Circuit Court
Hon. John J. McGrath Jr.*,2006,Shenandoah Circuit Court
Hon. James V. Lane,2006,Shenandoah Circuit Court
Hon. John R. Prosser,2006,Shenandoah Circuit Court
Hon. John E. Wetsel Jr.,2006,Shenandoah Circuit Court
"Hon. Malfourd W. Bo Trumbo, Presiding Judge",2010,Alleghany Circuit Court
"Hon. Humes J. Franklin Jr., Chief Judge",2010,Alleghany Circuit Court
Hon. Michael S. Irvine,2010,Alleghany Circuit Court
Hon. Victor V. Ludwig,2010,Alleghany Circuit Court
"Hon. J. Overton Harris, Presiding Judge",2010,Hanover Circuit Court
"Hon. Gordon F. Willis, Chief Judge",2010,Hanover Circuit Court
Hon. J. Martin Bass,2010,Hanover Circuit Court
Hon. David H. Beck,2010,Hanover Circuit Court
Hon. Joseph J. Ellis,2010,Hanover Circuit Court
Hon. Charles S. Sharp,2010,Hanover Circuit Court
Hon. Harry T. Taliaferro III,2010,Hanover Circuit Court
"Hon. Jeffrey W. Parker, Presiding Judge, Chief Judge",2009,Fauquier Circuit Court
Hon. James H. Chamblin,2009,Fauquier Circuit Court
Hon. Thomas D. Horne,2009,Fauquier Circuit Court
Hon. Burke F. McCahill,2009,Fauquier Circuit Court
"Hon. William T. Newman Jr., Presiding Judge, Chief Judge",2010,Arlington Circuit Court
"Hon. James F. Almand, Presiding Judge",2010,Arlington Circuit Court
"Hon. Joanne F. Alper, Presiding Judge",2010,Arlington Circuit Court
